randomtestcard1.c:
Testing Smithy...
Seed: 1376330083, test failed.
Seed: 29532552, test failed.
Seed: 1043655681, test failed.
Seed: 692765410, test failed.
Seed: 186797782, test failed.
Seed: 863546712, test failed.
Seed: 1723799340, test failed.
Seed: 703075311, test failed.
Seed: 420409907, test failed.
Seed: 1803298664, test failed.
Seed: 1099891252, test failed.
Seed: 838070621, test failed.
Seed: 1053375090, test failed.
Seed: 2124001306, test failed.
Seed: 1092830244, test failed.
Seed: 355910194, test failed.
Seed: 485466632, test failed.
Seed: 143938958, test failed.
Seed: 380832277, test failed.
Seed: 1900552728, test failed.
Seed: 1986442291, test failed.
Seed: 1138841333, test failed.
Seed: 1041536078, test failed.
Seed: 1715416434, test failed.
Seed: 1475071627, test failed.
Seed: 553564711, test failed.
Seed: 1208611448, test failed.
Seed: 1466932909, test failed.
Seed: 982865310, test failed.
Seed: 552593369, test failed.
Seed: 1593855131, test failed.
Seed: 249888587, test failed.
Seed: 1293946310, test failed.
Seed: 1460960428, test failed.
Seed: 1230531913, test failed.
Seed: 94924999, test failed.
Seed: 1830645300, test failed.
Seed: 484764892, test failed.
Seed: 928199329, test failed.
Seed: 39160069, test failed.
Seed: 1423929130, test failed.
Seed: 683266539, test failed.
Seed: 1984360112, test failed.
Seed: 599559821, test failed.
Seed: 1446166369, test failed.
Seed: 747953682, test failed.
Seed: 2060656754, test failed.
Seed: 824375968, test failed.
Seed: 1391669814, test failed.
Seed: 734414356, test failed.
Seed: 1351882257, test failed.
Seed: 1544208636, test failed.
Seed: 2063105687, test failed.
Seed: 1759741640, test failed.
Seed: 2081671208, test failed.
Seed: 1099608676, test failed.
Seed: 244142841, test failed.
Seed: 1843173620, test failed.
Seed: 1785591017, test failed.
Seed: 900761081, test failed.
Seed: 1447402985, test failed.
Seed: 1976811590, test failed.
Seed: 499073384, test failed.
Seed: 420211860, test failed.
Seed: 791556659, test failed.
Seed: 217977629, test failed.
Seed: 1983965571, test failed.
Seed: 1030999177, test failed.
Seed: 1643676147, test failed.
Seed: 595925331, test failed.
Seed: 294675231, test failed.
Seed: 788496749, test failed.
Seed: 1330925575, test failed.
Seed: 619837379, test failed.
Seed: 779436515, test failed.
Seed: 2053306682, test failed.
Seed: 1021829575, test failed.
Seed: 1439931944, test failed.
Seed: 388854887, test failed.
Seed: 1264162509, test failed.
Seed: 867286372, test failed.
Seed: 1176366814, test failed.
Seed: 1096842756, test failed.
Seed: 455872257, test failed.
Seed: 703139514, test failed.
Seed: 23415314, test failed.
Seed: 599847948, test failed.
Seed: 1536632818, test failed.
Seed: 1296098785, test failed.
Seed: 752322820, test failed.
Seed: 1529585009, test failed.
Seed: 7407505, test failed.
Seed: 393296831, test failed.
Seed: 1924833895, test failed.
Seed: 1159999605, test failed.
Seed: 1962563265, test failed.
Seed: 376169247, test failed.
Seed: 583570624, test failed.
Seed: 1051328776, test failed.
Seed: 2066047259, test failed.
Seed: 2091240470, test failed.
Seed: 604799387, test failed.
Seed: 753890989, test failed.
Seed: 326894645, test failed.
Seed: 2935107, test failed.
Seed: 1978041426, test failed.
Seed: 1737363320, test failed.
Seed: 1936451053, test failed.
Seed: 1285304732, test failed.
Seed: 765328222, test failed.
Seed: 607830409, test failed.
Seed: 177623018, test failed.
Seed: 1571854272, test failed.
Seed: 309528012, test failed.
Seed: 1800636524, test failed.
Seed: 82684042, test failed.
Seed: 170070548, test failed.
Seed: 140514468, test failed.
Seed: 681431987, test failed.
Seed: 826467663, test failed.
Seed: 1546626579, test failed.
Seed: 69403564, test failed.
Seed: 494990725, test failed.
Seed: 1119682754, test failed.
Seed: 1572172270, test failed.
Seed: 2078116147, test failed.
Seed: 317935169, test failed.
Seed: 1016518688, test failed.
Seed: 869449160, test failed.
Seed: 218005193, test failed.
Seed: 1554138323, test failed.
Seed: 119511734, test failed.
Seed: 988172664, test failed.
Seed: 500686761, test failed.
Seed: 727435316, test failed.
Seed: 206488099, test failed.
Seed: 1984179867, test failed.
Seed: 1263084498, test failed.
Seed: 134262632, test failed.
Seed: 2111982402, test failed.
Seed: 2120294581, test failed.
Seed: 1738953935, test failed.
Seed: 3386772, test failed.
Seed: 33051895, test failed.
Seed: 1934035676, test failed.
Seed: 1395437969, test failed.
Seed: 551746323, test failed.
Seed: 917415575, test failed.
Seed: 1774975906, test failed.
Seed: 1062039992, test failed.
Seed: 597773114, test failed.
Seed: 481505821, test failed.
Seed: 1544419754, test failed.
Seed: 766156277, test failed.
Seed: 1979873923, test failed.
Seed: 1237633641, test failed.
Seed: 625786286, test failed.
Seed: 95947311, test failed.
Seed: 1437092904, test failed.
Seed: 1502008990, test failed.
Seed: 380056295, test failed.
Seed: 416851635, test failed.
Seed: 117429367, test failed.
Seed: 324237959, test failed.
Seed: 604885900, test failed.
Seed: 99849199, test failed.
Seed: 507322394, test failed.
Seed: 1637128347, test failed.
Seed: 178461691, test failed.
Seed: 1582940886, test failed.
Seed: 986456008, test failed.
Seed: 1963536823, test failed.
Seed: 1502194808, test failed.
Seed: 93931704, test failed.
Seed: 40999694, test failed.
Seed: 2015448996, test failed.
Seed: 198420358, test failed.
Seed: 1352858608, test failed.
Seed: 1619084195, test failed.
Seed: 60771350, test failed.
Seed: 915890870, test failed.
Seed: 1279145461, test failed.
Seed: 741975569, test failed.
Seed: 1327471764, test failed.
Seed: 1024591136, test failed.
Seed: 931289227, test failed.
Seed: 1436019883, test failed.
Seed: 1475805791, test failed.
Seed: 659342889, test failed.
Seed: 1582535108, test failed.
Seed: 1018194543, test failed.
Seed: 1121398573, test failed.
Seed: 1735317440, test failed.
Seed: 1532464627, test failed.
Seed: 2003870101, test failed.
Seed: 1283404434, test failed.
Seed: 1753856527, test failed.
Seed: 48006940, test failed.
Seed: 1183856407, test failed.
Seed: 1268785709, test failed.
Seed: 2138407707, test failed.
Seed: 2072011041, test failed.
Seed: 799933690, test failed.
Seed: 70191338, test failed.
Seed: 822587032, test failed.
Seed: 12135515, test failed.
Seed: 955743254, test failed.
Seed: 909912829, test failed.
Seed: 1460307622, test failed.
Seed: 1750495034, test failed.
Seed: 1888129785, test failed.
Seed: 2088971398, test failed.
Seed: 1301482068, test failed.
Seed: 1842851113, test failed.
Seed: 1364973395, test failed.
Seed: 398818724, test failed.
Seed: 1016744462, test failed.
Seed: 635357749, test failed.
Seed: 1723679301, test failed.
Seed: 1128471084, test failed.
Seed: 210791885, test failed.
Seed: 92080613, test failed.
Seed: 126657040, test failed.
Seed: 1710112186, test failed.
Seed: 1296887250, test failed.
Seed: 756175089, test failed.
Seed: 52055746, test failed.
Seed: 384552404, test failed.
Seed: 687157530, test failed.
Seed: 1691392642, test failed.
Seed: 1044073043, test failed.
Seed: 1260544732, test failed.
Seed: 266073835, test failed.
Seed: 1730012010, test failed.
Seed: 453967920, test failed.
Seed: 241052175, test failed.
Seed: 1851606046, test failed.
Seed: 1831294944, test failed.
Seed: 1335126231, test failed.
Seed: 1417744101, test failed.
Seed: 559563408, test failed.
Seed: 1522063221, test failed.
Seed: 724098383, test failed.
Seed: 1965156968, test failed.
Seed: 1986535495, test failed.
Seed: 1315903191, test failed.
Seed: 1451793681, test failed.
Seed: 796458748, test failed.
Seed: 177383108, test failed.
Seed: 1560137006, test failed.
Seed: 1089986557, test failed.
Seed: 1296110833, test failed.
Seed: 2134321969, test failed.
Seed: 624888394, test failed.
Seed: 226361964, test failed.
Seed: 1806494386, test failed.
Seed: 2069068039, test failed.
Seed: 1397544526, test failed.
Seed: 940205937, test failed.
Seed: 2056938687, test failed.
Seed: 576800162, test failed.
Seed: 1662382676, test failed.
Seed: 1654322505, test failed.
Seed: 1598977712, test failed.
Seed: 690344887, test failed.
Seed: 315572993, test failed.
Seed: 665336603, test failed.
Seed: 426956751, test failed.
Seed: 444122308, test failed.
Seed: 1974139477, test failed.
Seed: 946993994, test failed.
Seed: 1456409645, test failed.
Seed: 666740527, test failed.
Seed: 1514261159, test failed.
Seed: 1921688370, test failed.
Seed: 238720601, test failed.
Seed: 501590781, test failed.
Seed: 232115080, test failed.
Seed: 64977406, test failed.
Seed: 1840135252, test failed.
Seed: 695240215, test failed.
Seed: 388170089, test failed.
Seed: 1619908424, test failed.
Seed: 2012751743, test failed.
Seed: 1866971986, test failed.
Seed: 587031356, test failed.
Seed: 1325074140, test failed.
Seed: 1535060717, test failed.
Seed: 602427877, test failed.
Seed: 1451277484, test failed.
Seed: 178070779, test failed.
Seed: 727637484, test failed.
Seed: 1443617715, test failed.
Seed: 688091198, test failed.
Seed: 643361708, test failed.
Seed: 116433766, test failed.
Seed: 388967400, test failed.
Seed: 551695094, test failed.
Seed: 1319730695, test failed.
Seed: 1925422908, test failed.
Seed: 108887114, test failed.
Seed: 1705701366, test failed.
Seed: 260927970, test failed.
Seed: 1278292274, test failed.
Seed: 1995116664, test failed.
Seed: 1239988446, test failed.
Seed: 124600548, test failed.
Seed: 705365355, test failed.
Seed: 779894846, test failed.
Seed: 929329736, test failed.
Seed: 1774199356, test failed.
Seed: 614374830, test failed.
Seed: 1550367357, test failed.
Seed: 2024558932, test failed.
Seed: 1583033114, test failed.
Seed: 1761833438, test failed.
Seed: 19985161, test failed.
Seed: 978397835, test failed.
Seed: 265845945, test failed.
Seed: 1144268978, test failed.
Seed: 691292572, test failed.
Seed: 139182757, test failed.
Seed: 56916059, test failed.
Seed: 236627735, test failed.
Seed: 90521018, test failed.
Seed: 112583812, test failed.
Seed: 64237325, test failed.
Seed: 1880403483, test failed.
Seed: 1893028567, test failed.
Seed: 189735439, test failed.
Seed: 1412493312, test failed.
Seed: 873014614, test failed.
Seed: 1124136386, test failed.
Seed: 1713391604, test failed.
Seed: 1960618911, test failed.
Seed: 1503461293, test failed.
Seed: 946950711, test failed.
Seed: 1320320956, test failed.
Seed: 339708514, test failed.
Seed: 1840677675, test failed.
Seed: 575422515, test failed.
Seed: 147466260, test failed.
Seed: 532736483, test failed.
Seed: 106780875, test failed.
Seed: 1637864863, test failed.
Seed: 1606859436, test failed.
Seed: 100601544, test failed.
Seed: 187869353, test failed.
Seed: 36319203, test failed.
Seed: 467236614, test failed.
Seed: 463954244, test failed.
Seed: 353882303, test failed.
Seed: 1465858309, test failed.
Seed: 267288077, test failed.
Seed: 1083668303, test failed.
Seed: 88312708, test failed.
Seed: 1913743593, test failed.
Seed: 151267012, test failed.
Seed: 116165064, test failed.
Seed: 577277830, test failed.
Seed: 554564202, test failed.
Seed: 509420807, test failed.
Seed: 369044020, test failed.
Seed: 1879903676, test failed.
Seed: 451067471, test failed.
Seed: 254817691, test failed.
Seed: 22870901, test failed.
Seed: 178443023, test failed.
Seed: 135419605, test failed.
Seed: 1146812386, test failed.
Seed: 406213205, test failed.
Seed: 730695080, test failed.
Seed: 1470904063, test failed.
Seed: 471469578, test failed.
Seed: 1140009979, test failed.
Seed: 1193615406, test failed.
Seed: 1085401027, test failed.
Seed: 202256279, test failed.
Seed: 252842727, test failed.
Seed: 1859808272, test failed.
Seed: 134332950, test failed.
Seed: 1618931913, test failed.
Seed: 575842309, test failed.
Seed: 1645933062, test failed.
Seed: 95622389, test failed.
Seed: 1930349823, test failed.
Seed: 1880386895, test failed.
Seed: 674308745, test failed.
Seed: 1395523347, test failed.
Seed: 643392789, test failed.
Seed: 47042084, test failed.
Seed: 2082623860, test failed.
Seed: 1392560761, test failed.
Seed: 439404512, test failed.
Seed: 72072800, test failed.
Seed: 201830038, test failed.
Seed: 118871451, test failed.
Seed: 363609602, test failed.
Seed: 1470653240, test failed.
Seed: 1405975674, test failed.
Seed: 507320817, test failed.
Seed: 2068111224, test failed.
Seed: 1702403105, test failed.
Seed: 1444031374, test failed.
Seed: 1740714644, test failed.
Seed: 1338492484, test failed.
Seed: 1776948711, test failed.
Seed: 772716193, test failed.
Seed: 1411029188, test failed.
Seed: 519945665, test failed.
Seed: 1363849841, test failed.
Seed: 1689507739, test failed.
Seed: 395054007, test failed.
Seed: 29951404, test failed.
Seed: 1915176358, test failed.
Seed: 1284499229, test failed.
Seed: 477285280, test failed.
Seed: 515237592, test failed.
Seed: 1800063126, test failed.
Seed: 982647543, test failed.
Seed: 1899209482, test failed.
Seed: 1033567204, test failed.
Seed: 1447289075, test failed.
Seed: 403216722, test failed.
Seed: 870920454, test failed.
Seed: 46452956, test failed.
Seed: 1644938090, test failed.
Seed: 1570007939, test failed.
Seed: 1641594389, test failed.
Seed: 1758215698, test failed.
Seed: 888402773, test failed.
Seed: 1684300627, test failed.
Seed: 2100358085, test failed.
Seed: 1397892792, test failed.
Seed: 2011323539, test failed.
Seed: 998748038, test failed.
Seed: 406713066, test failed.
Seed: 1144240271, test failed.
Seed: 1691114991, test failed.
Seed: 417353109, test failed.
Seed: 323135732, test failed.
