randomtestadventurer.c:
Testing Adventurer...
Seed: 2059137109, test failed, incorrect number of cards in hand.
Seed: 295038668, test failed, incorrect number of cards in hand.
Seed: 1446453209, test failed, incorrect number of cards in hand.
Seed: 1686958426, test failed, incorrect number of cards in hand.
Seed: 1135098505, test failed, incorrect number of cards in hand.
Seed: 1410379287, test failed, incorrect number of cards in hand.
Seed: 1504570186, test failed, incorrect number of cards in hand.
Seed: 493411040, test failed, incorrect number of cards in hand.
Seed: 2024880815, test failed, incorrect number of cards in hand.
Seed: 1253197531, test failed, incorrect number of cards in hand.
Seed: 485890535, test failed, incorrect number of cards in hand.
Seed: 1281007445, test failed, incorrect number of cards in hand.
Seed: 1136403062, test failed, incorrect number of cards in hand.
Seed: 2104914032, test failed, incorrect number of cards in hand.
Seed: 220317203, test failed, incorrect number of cards in hand.
Seed: 236877285, test failed, incorrect number of cards in hand.
Seed: 2129367726, test failed, incorrect number of cards in hand.
Seed: 1566177136, test failed, incorrect number of cards in hand.
Seed: 161238798, test failed, incorrect number of cards in hand.
Seed: 1488400056, test failed, incorrect number of cards in hand.
Seed: 1638131860, test failed, incorrect number of cards in hand.
Seed: 1639205703, test failed, incorrect number of cards in hand.
Seed: 22735837, test failed, incorrect number of cards in hand.
Seed: 629030372, test failed, incorrect number of cards in hand.
Seed: 1255971193, test failed, incorrect number of cards in hand.
Seed: 1038830264, test failed, incorrect number of cards in hand.
Seed: 398969947, test failed, incorrect number of cards in hand.
Seed: 1892700841, test failed, incorrect number of cards in hand.
Seed: 594845864, test failed, incorrect number of cards in hand.
Seed: 1647745993, test failed, incorrect number of cards in hand.
Seed: 2048401916, test failed, incorrect number of cards in hand.
Seed: 1764387220, test failed, incorrect number of cards in hand.
Seed: 1610244271, test failed, incorrect number of cards in hand.
Seed: 1429848596, test failed, incorrect number of cards in hand.
Seed: 41734911, test failed, incorrect number of cards in hand.
Seed: 1466954937, test failed, incorrect number of cards in hand.
Seed: 768829036, test failed, incorrect number of cards in hand.
Seed: 1399117104, test failed, incorrect number of cards in hand.
